period_number,start_time,end_time,active_users,idle_users,users_with_requests,requests_completed,requests_launched,requests_completed_new,requests_completed_prior,requests_in_progress,requests_in_progress_new,requests_in_progress_prior,requests_per_second,input_tokens_per_second,output_tokens_per_second,ttft_avg,ttft_p50,ttft_p95,ttft_p99,avg_cache_hit_rate,working_set_blocks,users_added,users_completed,total_request_time,idle_time_pct,new_tokens_ingested,ttft_headroom_pct,rate_limited_users,rate_limit_events,admission_blocked_events,dispatch_delay_avg,dispatch_delay_max,in_flight_prefilling,in_flight_decoding
50,1775089689.9754224,1775089719.9754224,33,13,13,45,18,18,27,33,24,9,1.5,54911.9,498.1,1.4482776323954265,0.7008678913116455,6.597004520893096,7.018616602420805,0.9921109902067464,116562,0,0,232.6383833885193,83.14214613126671,12992,85.51722367604575,0,0,0,0.012071229162670317,0.10026669502258301,1,32
51,1775089719.9754224,1775089749.9754224,36,9,22,57,29,29,28,36,31,5,1.9,99406.36666666667,487.93333333333334,0.8164445161819458,0.7349591255187988,1.8924771666526774,2.226270303726196,0.9924866907092564,117215,0,0,345.83158254623413,74.38284573731599,22400,91.83555483818054,0,0,0,10.8932932416598,652.907160282135,1,35
52,1775089749.9754224,1775089779.9754224,34,11,14,45,18,18,27,34,25,9,1.5,57459.76666666667,403.1333333333333,0.9921413220857319,0.5868234634399414,3.2472732067108083,5.678786230087281,0.9279480037140204,117495,0,0,201.86452198028564,85.04707244590477,124160,90.07858677914268,0,0,0,0.014281600020652594,0.0886843204498291,4,30
53,1775089779.9754224,1775089809.9754224,35,10,20,51,26,26,25,35,26,9,1.7,88210.2,422.03333333333336,1.5622390878611598,1.0084679126739502,6.708310890197743,8.751688423156738,0.9258981492681747,111954,0,0,300.0226845741272,77.77609743895354,196032,84.3776091213884,0,0,0,0.01733845013838548,0.08568406105041504,1,34
54,1775089809.9754224,1775089839.9754224,44,8,3,24,1,1,23,44,32,12,0.8,9308.8,200.73333333333332,5.4450342655181885,5.257877349853516,8.758565664291382,9.069737958908082,0.9970197157267309,119043,6,0,19.14555048942566,98.77272112247272,832,45.549657344818115,0,0,0,0.3610279776833274,4.9225335121154785,7,37
55,1775089839.9754224,1775089869.9754224,41,10,14,47,12,12,35,41,32,9,1.5666666666666667,49840.0,505.6333333333333,6.185923152499729,1.2896034717559814,22.95872877836227,24.227502057552336,0.9815877365761754,117430,0,0,312.81235671043396,79.55474792742262,27520,38.14076847500271,0,0,0,0.013599046071370443,0.09796905517578125,10,31
56,1775089869.9754224,1775089899.9754224,37,13,17,46,18,18,28,37,24,13,1.5333333333333334,70408.13333333333,386.4,3.3903011778990426,2.225922703742981,7.99056361913681,8.178518857955932,0.9283137825467552,117760,0,0,378.90765857696533,74.7394894282023,151360,66.09698822100958,0,0,0,0.013391216595967611,0.08703732490539551,2,35
57,1775089899.9754224,1775089929.9754224,39,11,21,56,29,29,27,39,29,10,1.8666666666666667,107618.8,572.5333333333333,0.9335069118007537,0.8040821552276611,1.7427263259887695,1.85486261844635,0.9936745255894192,111465,0,0,374.4294285774231,75.03803809483847,20416,90.66493088199246,0,0,0,0.013914165825679385,0.07700943946838379,4,35
58,1775089929.9754224,1775089959.9754224,44,11,7,30,5,5,25,44,30,14,1.0,23208.4,278.4,8.497215577534266,6.976185083389282,16.05263819694519,16.316887884140016,0.9899770114942529,117109,5,0,153.74059987068176,90.68238788662535,6976,15.027844224657336,0,0,0,0.24240109579903737,4.834079742431641,11,33
59,1775089959.9754224,1775089989.9754224,44,11,21,46,15,15,31,44,31,13,1.5333333333333334,76157.1,445.3333333333333,3.964231081008911,1.9792540073394775,9.314762449264526,9.357992210388183,0.9436769692044722,114618,0,0,384.5200273990631,76.6957559152083,128640,60.35768918991089,0,0,0,0.014253481574680494,0.09829020500183105,7,37
